"feature","importance"
"inc_first",9.72991486466651
"inc_last",20.0903191772092
"edu_first",2.78634906066878
"edu_last",6.55059912765192
"rent_first",2.50668175885532
"rent_last",2.32483004589139
"age_first",-1.0415862126787
"age_last",-0.93179066352697
"unemp_first",3.6914990240691
"hisp_first",1.9170894041432
"hisp_last",0.686600117220387
"inc_pct_change",73.5477043313752
"edu_pct_change",0.799605715656281
"rent_pct_change",5.54120508817676
"age_pct_change",-0.818336745377276
"unemp_pct_change",-0.667033201707396
"hisp_pct_change",1.5775662049775
"init_pop",-2.04873050895415
"init_median_age",-1.13853536454852
"init_pct_bachelors",2.98069359675142
"init_renter_pct",2.89380761541034
"init_unemployment",3.02624180001547
"init_pct_hispanic",1.38075015135159
"init_income",9.85732314561313
